Dates,Close Price,STOXX 600
May-26-2022,25,437.71
May-27-2022,25.06,443.93
May-30-2022,24.98,446.57
May-31-2022,25,443.35
Jun-01-2022,25.04,438.72
Jun-02-2022,24.98,441.23
Jun-03-2022,24.96,440.09
Jun-06-2022,24.96,444.12
Jun-07-2022,25.04,442.88
Jun-08-2022,24.78,440.37
Jun-09-2022,24.5,434.38
Jun-10-2022,23.62,422.71
Jun-13-2022,23.72,412.52
Jun-14-2022,23.3,407.32
Jun-15-2022,23.3,413.1
Jun-16-2022,22.74,402.88
Jun-17-2022,21.26,403.25
Jun-20-2022,19.42,407.14
Jun-21-2022,18.66,408.58
Jun-22-2022,17.59,405.74
Jun-23-2022,17.25,402.4
Jun-24-2022,17,412.93
Jun-27-2022,16.66,415.09
Jun-28-2022,16.72,416.19
Jun-29-2022,16.51,413.42
Jun-30-2022,16.41,407.2
Jul-01-2022,16.81,407.13
Jul-04-2022,17.54,409.31
Jul-05-2022,16.8,400.68
Jul-06-2022,17.11,407.34
Jul-07-2022,17.28,415.01
Jul-08-2022,17.64,417.12
Jul-11-2022,17.74,415.02
Jul-12-2022,17.16,417.04
Jul-13-2022,17.15,412.81
Jul-14-2022,17.06,406.5
Jul-15-2022,17.2,413.78
Jul-18-2022,17.4,417.63
Jul-19-2022,17.46,423.41
Jul-20-2022,17.39,422.51
Jul-21-2022,17.91,424.39
Jul-22-2022,17.81,425.71
Jul-25-2022,17.97,426.25
Jul-26-2022,18.34,426.13
Jul-27-2022,19.23,428.12
Jul-28-2022,18.1,432.77
Jul-29-2022,18.31,438.29
Aug-01-2022,18.66,437.46
Aug-02-2022,17.75,436.07
Aug-03-2022,17.9,438.29
Aug-04-2022,17.52,439.06
Aug-05-2022,17.51,435.72
Aug-08-2022,17.41,438.93
Aug-09-2022,17.54,435.98
Aug-10-2022,17.7,439.88
Aug-11-2022,18.06,440.16
Aug-12-2022,18.22,440.87
Aug-15-2022,18.43,442.35
Aug-16-2022,17.88,443.07
Aug-17-2022,17.91,439.03
Aug-18-2022,17.46,440.76
Aug-19-2022,17.41,437.36
Aug-22-2022,16.5,433.17
Aug-23-2022,16.18,431.35
Aug-24-2022,15.98,432.05
