date,ust3MTH_close
2018/9/17,2.158
2018/9/18,2.174
2018/9/19,2.166
2018/9/20,2.169
2018/9/21,2.173
2018/9/23,2.173
2018/9/24,2.173
2018/9/25,2.215
2018/9/26,2.212
2018/9/27,2.192
2018/9/28,2.199
2018/9/30,2.204
2018/10/1,2.206
2018/10/2,2.223
2018/10/3,2.223
2018/10/4,2.222
2018/10/5,2.217
2018/10/8,2.217
2018/10/9,2.237
2018/10/10,2.274
2018/10/11,2.266
2018/10/12,2.271
2018/10/14,2.271
2018/10/15,2.283
2018/10/16,2.31
2018/10/17,2.31
2018/10/18,2.31
2018/10/19,2.309
2018/10/21,2.309
2018/10/22,2.312
2018/10/23,2.34
2018/10/24,2.34
2018/10/25,2.335
2018/10/26,2.327
2018/10/28,2.33
2018/10/29,2.314
2018/10/30,2.338
2018/10/31,2.333
2018/11/1,2.325
2018/11/2,2.327
2018/11/4,2.325
2018/11/5,2.322
2018/11/6,2.366
2018/11/7,2.361
2018/11/8,2.358
2018/11/9,2.355
2018/11/12,2.355
2018/11/13,2.35
2018/11/14,2.376
2018/11/15,2.366
2018/11/16,2.355
2018/11/18,2.353
2018/11/19,2.355
2018/11/20,2.392
2018/11/21,2.407
2018/11/22,2.402
2018/11/23,2.404
2018/11/25,2.407
2018/11/26,2.399
2018/11/27,2.405
2018/11/28,2.387
2018/11/29,2.366
2018/11/30,2.363
2018/12/2,2.355
2018/12/3,2.342
2018/12/4,2.423
2018/12/5,2.422
2018/12/6,2.41
2018/12/7,2.396
2018/12/9,2.396
2018/12/10,2.386
2018/12/11,2.428
2018/12/12,2.428
2018/12/13,2.42
2018/12/14,2.424
2018/12/16,2.417
2018/12/17,2.394
2018/12/18,2.384
2018/12/19,2.394
2018/12/20,2.392
2018/12/21,2.386
2018/12/23,2.386
2018/12/24,2.388
2018/12/25,2.443
2018/12/26,2.435
2018/12/27,2.41
2018/12/28,2.383
2018/12/30,2.386
2018/12/31,2.381
2019/1/1,2.466
2019/1/2,2.417
2019/1/3,2.412
2019/1/4,2.414
2019/1/6,2.424
2019/1/7,2.409
2019/1/8,2.458
2019/1/9,2.443
2019/1/10,2.433
2019/1/11,2.424
2019/1/13,2.422
2019/1/14,2.417
2019/1/15,2.451
2019/1/16,2.42
2019/1/17,2.41
2019/1/18,2.404
2019/1/21,2.406
2019/1/22,2.401
2019/1/23,2.41
2019/1/24,2.369
2019/1/25,2.383
2019/1/27,2.383
2019/1/28,2.388
2019/1/29,2.423
2019/1/30,2.417
2019/1/31,2.397
2019/2/1,2.396
2019/2/3,2.396
2019/2/4,2.391
2019/2/5,2.417
2019/2/6,2.417
2019/2/7,2.412
2019/2/8,2.422
2019/2/10,2.422
2019/2/11,2.432
2019/2/12,2.435
2019/2/13,2.43
2019/2/14,2.43
2019/2/15,2.427
2019/2/18,2.429
2019/2/19,2.429
2019/2/20,2.446
2019/2/21,2.448
2019/2/22,2.45
2019/2/24,2.45
2019/2/25,2.45
2019/2/26,2.458
2019/2/27,2.451
2019/2/28,2.44
2019/3/1,2.435
2019/3/3,2.44
2019/3/4,2.432
2019/3/5,2.465
2019/3/6,2.465
2019/3/7,2.46
2019/3/8,2.454
2019/3/10,2.453
2019/3/11,2.444
2019/3/12,2.46
2019/3/13,2.452
2019/3/14,2.452
2019/3/15,2.452
2019/3/17,2.442
2019/3/18,2.446
2019/3/19,2.47
2019/3/20,2.473
2019/3/21,2.473
2019/3/22,2.462
2019/3/24,2.453
2019/3/25,2.454
2019/3/26,2.47
2019/3/27,2.442
2019/3/28,2.437
2019/3/29,2.4
2019/3/31,2.401
2019/4/1,2.392
2019/4/2,2.434
2019/4/3,2.437
2019/4/4,2.434
2019/4/5,2.434
2019/4/7,2.43
2019/4/8,2.429
2019/4/9,2.429
2019/4/10,2.427
2019/4/11,2.429
2019/4/12,2.441
2019/4/14,2.432
2019/4/15,2.423
2019/4/16,2.442
2019/4/17,2.439
2019/4/18,2.429
2019/4/21,2.427
2019/4/22,2.441
2019/4/23,2.45
2019/4/24,2.434
2019/4/25,2.429
2019/4/26,2.423
2019/4/29,2.423
2019/4/30,2.432
2019/5/1,2.427
